Ref,Val,Package,PosX,PosY,Rot,Side
"R2908","100R","R_2512_6332Metric",82.829000,-38.635000,180.000000,bottom
"R2909","100R","R_2512_6332Metric",82.829000,-30.507000,180.000000,bottom
"R2910","100R","R_2512_6332Metric",82.829000,-26.443000,180.000000,bottom
"R2911","100R","R_2512_6332Metric",82.829000,-22.379000,180.000000,bottom
"R2912","330R","R_0805_2012Metric",80.831000,-62.257000,0.000000,bottom
"R2913","330R","R_0805_2012Metric",104.469000,-13.605000,180.000000,bottom
"R2914","10K","R_0805_2012Metric",85.623000,-18.569000,90.000000,bottom
"R2915","1K","R_0805_2012Metric",88.163000,-18.569000,270.000000,bottom
"R2916","100R","R_2512_6332Metric",90.957000,-58.955000,180.000000,bottom
"R2917","100R","R_2512_6332Metric",90.957000,-54.891000,180.000000,bottom
"R2918","100R","R_2512_6332Metric",90.957000,-50.827000,180.000000,bottom
"R2919","100R","R_2512_6332Metric",90.957000,-46.763000,180.000000,bottom
"R2920","100R","R_2512_6332Metric",90.957000,-42.699000,180.000000,bottom
"R2921","100R","R_2512_6332Metric",90.957000,-26.415000,180.000000,bottom
"R2922","100R","R_2512_6332Metric",90.957000,-34.571000,180.000000,bottom
"R2923","100R","R_2512_6332Metric",90.957000,-38.635000,180.000000,bottom
"R2924","100R","R_2512_6332Metric",90.957000,-30.507000,180.000000,bottom
"R2925","100R","R_2512_6332Metric",90.957000,-22.379000,180.000000,bottom
"R2926","330R","R_0805_2012Metric",88.925000,-62.257000,0.000000,bottom
"R2927","330R","R_0805_2012Metric",104.469000,-11.573000,180.000000,bottom
"R2928","10K","R_0805_2012Metric",93.751000,-18.569000,90.000000,bottom
"R2929","1K","R_0805_2012Metric",96.291000,-18.569000,270.000000,bottom
"R2930","100R","R_2512_6332Metric",99.085000,-58.955000,180.000000,bottom
"R2931","100R","R_2512_6332Metric",99.085000,-54.891000,180.000000,bottom
"R2932","100R","R_2512_6332Metric",99.085000,-50.827000,180.000000,bottom
"R2933","100R","R_2512_6332Metric",99.085000,-42.699000,180.000000,bottom
"R2934","100R","R_2512_6332Metric",99.085000,-46.763000,180.000000,bottom
"R2935","100R","R_2512_6332Metric",99.085000,-26.415000,180.000000,bottom
"R2936","100R","R_2512_6332Metric",99.085000,-34.571000,180.000000,bottom
"R2937","100R","R_2512_6332Metric",99.085000,-30.507000,180.000000,bottom
"R2938","100R","R_2512_6332Metric",99.085000,-22.379000,180.000000,bottom
"R2939","100R","R_2512_6332Metric",99.085000,-38.635000,180.000000,bottom
"R2940","330R","R_0805_2012Metric",97.053000,-62.257000,0.000000,bottom
"R2941","330R","R_0805_2012Metric",104.469000,-9.541000,180.000000,bottom
"R2942","10K","R_0805_2012Metric",101.879000,-18.569000,90.000000,bottom
"R2943","1K","R_0805_2012Metric",104.419000,-18.569000,270.000000,bottom
"R2944","100R","R_2512_6332Metric",107.213000,-50.827000,180.000000,bottom
"R2945","100R","R_2512_6332Metric",107.213000,-58.955000,180.000000,bottom
"R2946","100R","R_2512_6332Metric",107.213000,-54.891000,180.000000,bottom
"R2947","100R","R_2512_6332Metric",107.213000,-46.763000,180.000000,bottom
"R2948","100R","R_2512_6332Metric",107.213000,-42.699000,180.000000,bottom
"R2949","100R","R_2512_6332Metric",107.213000,-30.507000,180.000000,bottom
"R2950","100R","R_2512_6332Metric",107.213000,-38.635000,180.000000,bottom
"R2951","100R","R_2512_6332Metric",107.213000,-34.543000,180.000000,bottom
"R2952","100R","R_2512_6332Metric",107.213000,-26.443000,180.000000,bottom
"R2953","100R","R_2512_6332Metric",107.213000,-22.379000,180.000000,bottom
"R2954","330R","R_0805_2012Metric",105.262000,-62.257000,0.000000,bottom
"R2955","330R","R_0805_2012Metric",104.469000,-7.509000,180.000000,bottom
"R2956","10K","R_0805_2012Metric",110.007000,-18.569000,90.000000,bottom
"R3001","1K","R_0805_2012Metric",80.061600,-80.503600,270.000000,bottom
"R3002","100R","R_2512_6332Metric",82.855600,-116.825600,180.000000,bottom
"R3003","100R","R_2512_6332Metric",82.855600,-112.761600,180.000000,bottom
"R3004","100R","R_2512_6332Metric",82.855600,-120.889600,180.000000,bottom
"R3005","100R","R_2512_6332Metric",82.855600,-108.697600,180.000000,bottom
"R3006","100R","R_2512_6332Metric",82.855600,-96.505600,180.000000,bottom
"R3007","100R","R_2512_6332Metric",82.855600,-104.605600,180.000000,bottom
"R3008","100R","R_2512_6332Metric",82.855600,-100.569600,180.000000,bottom
"R3009","100R","R_2512_6332Metric",82.855600,-92.441600,180.000000,bottom
"R3010","100R","R_2512_6332Metric",82.855600,-88.377600,180.000000,bottom
"R3011","100R","R_2512_6332Metric",82.855600,-84.313600,180.000000,bottom
"R3012","330R","R_0805_2012Metric",80.857600,-123.937600,0.000000,bottom
"R3013","330R","R_0805_2012Metric",104.495600,-75.539600,180.000000,bottom
"R3014","10K","R_0805_2012Metric",85.649600,-80.503600,90.000000,bottom
"R3015","1K","R_0805_2012Metric",88.189600,-80.503600,270.000000,bottom
"R3016","100R","R_2512_6332Metric",90.983600,-120.889600,180.000000,bottom
"R3017","100R","R_2512_6332Metric",90.983600,-116.825600,180.000000,bottom
"R3018","100R","R_2512_6332Metric",90.983600,-112.761600,180.000000,bottom
"R3019","100R","R_2512_6332Metric",90.983600,-108.697600,180.000000,bottom
"R3020","100R","R_2512_6332Metric",90.983600,-104.633600,180.000000,bottom
"R3021","100R","R_2512_6332Metric",90.983600,-88.349600,180.000000,bottom
