Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R703,1K,R_0805_2012Metric,25.122,-100.454,180,top
R704,1K,R_0805_2012Metric,28.551,-100.454,180,top
R705,1K,R_0805_2012Metric,14.835,-100.454,180,top
R706,1K,R_0805_2012Metric,14.454,-109.852,0,top
R707,1K,R_0805_2012Metric,32.036,-104.112,180,top
R708,1K,R_0805_2012Metric,32.036,-110.208,180,top
R709,1K,R_0805_2012Metric,28.551,-119.123,0,top
R710,1K,R_0805_2012Metric,25.122,-119.123,0,top
R711,1K,R_0805_2012Metric,21.693,-119.123,0,top
R712,1K,R_0805_2012Metric,18.264,-119.123,0,top
R713,1K,R_0805_2012Metric,31.345,-117.853,270,top
R714,1K,R_0805_2012Metric,14.708,-119.123,180,top
R715,1K,R_0805_2012Metric,27.916,-111.478,180,top
R716,1K,R_0805_2012Metric,32.036,-114.653,180,top
R801,1K,R_0805_2012Metric,18.264,-74.71,180,top
R802,1K,R_0805_2012Metric,21.693,-74.71,180,top
R803,1K,R_0805_2012Metric,25.122,-74.71,180,top
R804,1K,R_0805_2012Metric,28.551,-74.71,180,top
R805,1K,R_0805_2012Metric,14.835,-74.71,180,top
R806,1K,R_0805_2012Metric,14.454,-84.108,0,top
R807,1K,R_0805_2012Metric,32.036,-78.368,180,top
R808,1K,R_0805_2012Metric,32.036,-84.464,180,top
R809,1K,R_0805_2012Metric,28.551,-93.379,0,top
R810,1K,R_0805_2012Metric,25.122,-93.379,0,top
R811,1K,R_0805_2012Metric,21.693,-93.379,0,top
R812,1K,R_0805_2012Metric,18.264,-93.379,0,top
R813,1K,R_0805_2012Metric,31.345,-92.109,270,top
R814,1K,R_0805_2012Metric,14.708,-93.379,180,top
R815,1K,R_0805_2012Metric,27.916,-85.734,180,top
R816,1K,R_0805_2012Metric,32.036,-88.909,180,top
R901,1K,R_0805_2012Metric,54.763,-38.097,180,top
R902,1K,R_0805_2012Metric,58.192,-38.097,180,top
R903,1K,R_0805_2012Metric,61.621,-38.097,180,top
R904,1K,R_0805_2012Metric,65.05,-38.097,180,top
R905,1K,R_0805_2012Metric,51.334,-38.097,180,top
R906,1K,R_0805_2012Metric,50.953,-47.495,0,top
R907,1K,R_0805_2012Metric,68.535,-41.755,180,top
R908,1K,R_0805_2012Metric,68.535,-47.851,180,top
R909,1K,R_0805_2012Metric,65.05,-56.766,0,top
R910,1K,R_0805_2012Metric,61.621,-56.766,0,top
R911,1K,R_0805_2012Metric,58.192,-56.766,0,top
R912,1K,R_0805_2012Metric,54.763,-56.766,0,top
R913,1K,R_0805_2012Metric,67.844,-55.496,270,top
R914,1K,R_0805_2012Metric,51.207,-56.766,180,top
R915,1K,R_0805_2012Metric,64.415,-49.121,180,top
R916,1K,R_0805_2012Metric,68.535,-52.296,180,top
R1001,1K,R_0805_2012Metric,54.713,-12.898,180,top
R1002,1K,R_0805_2012Metric,58.142,-12.898,180,top
R1003,1K,R_0805_2012Metric,61.571,-12.898,180,top
R1004,1K,R_0805_2012Metric,65,-12.898,180,top
R1005,1K,R_0805_2012Metric,51.284,-12.898,180,top
R1006,1K,R_0805_2012Metric,50.903,-22.296,0,top
R1007,1K,R_0805_2012Metric,68.485,-16.556,180,top
R1008,1K,R_0805_2012Metric,68.485,-22.652,180,top
R1009,1K,R_0805_2012Metric,65,-31.567,0,top
R1010,1K,R_0805_2012Metric,61.571,-31.567,0,top
R1011,1K,R_0805_2012Metric,58.142,-31.567,0,top
R1012,1K,R_0805_2012Metric,54.713,-31.567,0,top
R1013,1K,R_0805_2012Metric,67.794,-30.297,270,top
R1014,1K,R_0805_2012Metric,51.157,-31.567,180,top
R1015,1K,R_0805_2012Metric,64.365,-23.922,180,top
R1016,1K,R_0805_2012Metric,68.485,-27.097,180,top
R1101,1K,R_0805_2012Metric,54.89,-100.491,180,top
R1102,1K,R_0805_2012Metric,58.319,-100.491,180,top
R1103,1K,R_0805_2012Metric,61.748,-100.491,180,top
R1104,1K,R_0805_2012Metric,65.177,-100.491,180,top
